"","Paper_id","DOI","Authors","Authors_abbrev","PubYear","Journal","Volume_issue","Title","Pages","ReaderName","DateRead","Notes","Loc_multi","Soil_type","City","State","Latitude","Longitude","Year_start","Years_num","Annual_precip","Field_history","Exp_design","Exp_arrangement","Reps","Plot_width","Plot_length","Trtmt_levels","Trtmt_main","Trtmt_main_levels","Trtmt_splitA","Trtmt_splitA_levels","Trtmt_splitB","Trtmt_splitB_levels","Trtmt_splitC","Trtmt_splitC_levels"
"1",1,"10.1097/SS.0b013e3181cf7959","Olson, K.R., Ebelhar, S.A. & Lang, J.M.","Olson et al.",2010,"Soil Science","175(2)","Cover crop diversity synthesis","89-98","LWA",2018-02-16,NA,0,"Grantsburg silt loam (fine-silty, mixed, mesic Typic Fragiudalfs)","Dixon Spring Agricultural Research Center","IL",NA,NA,2001,4,617,"in a tillage experiment for 13 years before the start of this experiment","latin square (3 randomizations)","split-plot","6",4.5,12,2,"tillage",3,"cover crops",2,NA,NA,NA,NA
"2",2,"10.1016/j.agwat.2012.03.010","Kaspar, T.C., Jaynes, D.B., Parkin, T.B., Moorman, T.B. & Singer, J.W.","Kaspar et al.",2012,"Agricultural Water Management","110","Effectiveness of oat and rye cover crops in reducing nitrate losses in drainage water","25-33","LWA",2018-02-16,NA,0,"Canisteo (fine loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Nicollet (fine-loamy, mixed, superactive, mesic Aquic Hapludolls)","Ames","IA","42.05<U+25E6> N","93.71<U+25E6> W",2006,5,856,"experiment established in 1999","randomized complete block design",NA,"4",30.5,42.7,1,"cover crops species",3,NA,NA,NA,NA,NA,NA
"3",3,"10.4137/ASWR.S30708","Grebliunas, B.D., Armstrong, S.D. & Perry W.L.","Grebliunas et al.",2016,"Air, Soil and Water Research","9","Changes in water-extractable organic carbon with cover crop planting under continuous corn silage production","45-54","LWA",2018-02-20,NA,0,"poorly drained Drummer and Elpaso silt clay loams","Lexington","IL",NA,NA,2012,3,NA,NA,"randomized complete block design",NA,"3",1,2023,3,"cover crops species + management",3,NA,NA,NA,NA,NA,NA
"4",4,"10.1016/j.agee.2015.10.014","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.","Welch et al.",2016,"Agriculture, Ecosystems and Environment","216","Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","322-332","LWA",2018-02-21,NA,1,"Flanagan silt loam (Fine, smectitic, mesic Aquic Argiudolls)","Cerro Gordo","IL","39<U+25E6>54'N","88<U+25E6>43'W",2011,2,1015,"The typical grain rotation for this farm is yellow organic corn, food grade soybeans and soft red winter wheat (Triticum aestivum L.). Since 1972, the farm has used a variety of cover crops, including red clover (Trifolium pretense L.), forage radish, cereal rye, annual rye (Lolium multiflorum Lam.) and oats (Avena sativa L.).  The year prior to our study yellow organic corn was planted with 2 t of chicken litter and a mixture of cereal rye and hairy vetch as cover crops.","randomized complete block design","split-plot","2",6,15,2,"field area",2,"cover crops",4,NA,NA,NA,NA
"5",4,"10.1016/j.agee.2015.10.014","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.","Welch et al.",2016,"Agriculture, Ecosystems and Environment","216","Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","322-332","LWA",2018-02-21,NA,2,"Danabrook silt loam (Fine-silty, mixed, superacitve, mesic Oxyaquic Argiudolls)","Malta","IL","41<U+25E6>55'N","88<U+25E6>56'W",2011,2,1015,"Typical crop rotation is corn, soybean, and small grains with several types of cover crops: red clover, alfalfa (Medicago sativa L.), radishes, oats, and buckwheat. The year prior to our study corn was planted with spring applied manure from a local dairy.","randomized complete block design","split-plot","2",6,15,2,"field area",2,"cover crops",4,NA,NA,NA,NA
"6",4,"10.1016/j.agee.2015.10.014","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.","Welch et al.",2016,"Agriculture, Ecosystems and Environment","216","Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","322-332","LWA",2018-02-21,NA,3,"Virden silty clay loams (Fine, smectitic, mesic Vertic Argiaquolls)","Pana","IL","39<U+25E6>27'N","89<U+25E6>03'W",2011,2,1015,"The typical grain rotation is a seven year rotation of fallow, corn, oats, corn, soybean and meadow. The Pana farmer uses a variety of cover crops, including clover, alfalfa, orchard grass (Dactylis glomerata L.), cereal rye, hairy vetch and buckwheat.","randomized complete block design","split-plot","2",6,15,2,"field area",2,"cover crops",4,NA,NA,NA,NA
"7",4,"10.1016/j.agee.2015.10.014","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.","Welch et al.",2016,"Agriculture, Ecosystems and Environment","216","Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","322-332","LWA",2018-02-21,NA,4,"Virden silty clay loams (Fine, smectitic, mesic Vertic Argiaquolls)","Pana","IL","39<U+25E6>27'N","89<U+25E6>03'W",2011,2,1015,"The typical grain rotation is a seven year rotation of fallow, corn, oats, corn, soybean and meadow. The Pana farmer uses a variety of cover crops, including clover, alfalfa, orchard grass (Dactylis glomerata L.), cereal rye, hairy vetch and buckwheat.","randomized complete block design","split-plot","2",6,15,2,"field area",2,"cover crops",4,NA,NA,NA,NA
"8",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",1,"silt loam",NA,"AR",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"9",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",2,"silt loam",NA,"AR",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"10",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",3,"silt loam",NA,"IN",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"11",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",4,"silt loam",NA,"IN",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"12",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",5,"silt loam",NA,"IL",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"13",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",6,"silt loam",NA,"IL",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"14",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",7,"silt loam",NA,"IL",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"15",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",8,"silty clay loam",NA,"MO",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"16",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",9,"silt loam",NA,"MO",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"17",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",10,"silty clay loam",NA,"OH",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"18",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",11,"silty clay loam",NA,"OH",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"19",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",12,"silt loam",NA,"TN",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"20",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",13,"silt loam",NA,"TN",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"21",6,"www.jstor.org/stable/3987624","Johnson, G.A., Defelice, M.S. & Helsel, Z.R.","Johnson et al.",1993,"Weed Technology","7(2)","Cover crop management and weed control in Corn (Zea mays)","425-430","LWA",2018-02-27,NA,0,"Mexico silt loam (Udollic Ochraqualfs; fine montmorrillonitic, mesic)","Columbia","MO",NA,NA,1989,2,NA,NA,"randomized experimental design","split-split-plot","4",3,11,3,"cover crops",3,"cover crop termination",3,"herbicides",2,NA,NA
"22",7,"10.1016/j.agee.2009.05.008","Jarecki, M.K., Parkin, T.B., Chan, A.S.L., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. & Jones, R.","Jarecki et al.",2009,"Agriculture, Ecosystems and Environment","134","Cover crop effects on nitrous oxide emission from a manure-treated Mollisol","29-35","LWA",2018-02-28,NA,0,"Canisteo silty clay loam (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Clarion loam (fine-loamy, mixed, superactive, mesic Typic Hapludolls)","Ames","IA","42.02N","93.45W",2005,2,835,"The experimental area had been rotated annually with corn and soybean [Glycine max (L.) Merr.] since 1998, with an average N input of 150 kg N ha1 in the corn years.","randomized complete block design",NA,"4",3.8,21.3,1,"cover crops + manure",6,NA,NA,NA,NA,NA,NA
"23",8,"10.1614/WS-D-11-00192.1","Mock, V.A., Creech, J.E., Ferris, V.R., Faghihi, J., Westphal, A., Santini, J.B. & Johnson, W.G.","Mock et al.",2012,"Weed Science","60","Influence of winter annual weed management and crop rotation on soybean cyst nematode (Heterodera glycines) and winter annual weeds: Years four and five","634-640","LWA",2018-03-01,NA,1,"Raub-Brenton complex (finne-silty, mixes, superactive, mesic, Aquic Argiudolls)","West Lafayette","IN",NA,NA,2006,2,NA,"Conventional tillage, corn-soybean. Continuous no-tillage initiaed in spring 2003.","randomized complete block design","split-plot","6",9.1,9.9,2,"crop rotation",2,"weed management",3,NA,NA,NA,NA
"24",8,"10.1614/WS-D-11-00192.1","Mock, V.A., Creech, J.E., Ferris, V.R., Faghihi, J., Westphal, A., Santini, J.B. & Johnson, W.G.","Mock et al.",2012,"Weed Science","60","Influence of winter annual weed management and crop rotation on soybean cyst nematode (Heterodera glycines) and winter annual weeds: Years four and five","634-640","LWA",2018-03-01,NA,2,"Patton silt loam (fine-silty, mixed, superactive, Typic Endoaquolls)","Vincennes","IN",NA,NA,2006,2,NA,"Conventional tillage, corn-soybean. Continuous no-tillage initiaed in spring 2003.","randomized complete block design","split-plot","6",9.1,9.9,2,"crop rotation",2,"weed management",3,NA,NA,NA,NA
"25",9,"http://www.jstor.org/stable/25085273","Hammond, R. B.","Hammond",1991,"Journal of the Kansas Entomological Society","64(2)","Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean","216-220","LWA",2018-04-17,NA,1,NA,"Custar","OH",NA,NA,1987,1,NA,NA,"randomized complete block design","strip-block","4",12.8,12.8,2,"cover crops/planting date",4,NA,NA,NA,NA,NA,NA
"26",9,"http://www.jstor.org/stable/25085273","Hammond, R. B.","Hammond",1991,"Journal of the Kansas Entomological Society","64(2)","Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean","216-220","LWA",2018-04-17,NA,2,NA,"South Charleston","OH",NA,NA,1987,2,NA,NA,"randomized complete block design","strip-block","3",15.4,10.2,2,"cover crops/planting date",4,NA,NA,NA,NA,NA,NA
"27",9,"http://www.jstor.org/stable/25085273","Hammond, R. B.","Hammond",1991,"Journal of the Kansas Entomological Society","64(2)","Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean","216-220","LWA",2018-04-17,NA,3,NA,"Ripley","OH",NA,NA,1987,2,NA,NA,"randomized complete block design","strip-block","4",18.3,18.3,2,"cover crops/planting date",4,NA,NA,NA,NA,NA,NA
"28",10,"1abc","Johnson, T.J., Kaspar, T.C., Kohler, K.A., Corak, S.J., & Logsdon, S.D.","Johnson et al.",1998,"Journal of Soil and Water Conservation","53(3)","Oat and rye overseeded into soybean as fall cover crops in the upper Midwest","276-279","LWA",2018-07-10,NA,0,"Canisteo (fine-loamy, mixed, calcereous, mesic Typic Endoaquolls)","Ames","IA",NA,NA,1990,6,NA,"No-till maize and soybean","randomized complete block design",NA,"5",3.8,65.7,1,"cover crops",4,NA,NA,NA,NA,NA,NA
"29",11,"2abc","Williams, M.M. II, Mortensen, D.A., & Doran, J.W.","Williams et al.",2000,"Journal of Soil and Water Conservation","55(1)","No-tillage soybean performance in cover crops for weed management in western Corn Belt","79-84","LWA",2018-07-10,NA,1,"Sharpsburg silty clay loam (fine, montmorillonitic, mesic, typic Argiudoll)","Ithaca","NE",NA,NA,1994,1,NA,"Silage maize","randomized complete block design","strip-block split-plot","3",4.6,15,2,"cover crops",5,"irrigation",2,NA,NA,NA,NA
"30",11,"2abc","Williams, M.M. II, Mortensen, D.A., & Doran, J.W.","Williams et al.",2000,"Journal of Soil and Water Conservation","55(1)","No-tillage soybean performance in cover crops for weed management in western Corn Belt","79-84","LWA",2018-07-10,NA,2,"Sharpsburg silty clay loam (fine, montmorillonitic, mesic, typic Argiudoll)","Ithaca","NE",NA,NA,1995,1,NA,"Silage maize","randomized complete block design","strip-block split-plot","4",4.6,15,2,"cover crops",6,"irrigation",2,NA,NA,NA,NA
