Paper_id,Duration,Trt_id,Year,Till_type,Till_depth_cm,Till_numpasses,Till_dates,Trt_name,Trt_other_description,,,,,,,,,,,,,,,,,
150,1989-3,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991)",MP,,,,,,,,,,,,,,,,,,
150,1989-3,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991)",CP,,,,,,,,,,,,,,,,,,
150,1989-3,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
151,1989-4,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991)",MP,,,,,,,,,,,,,,,,,,
151,1989-4,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991)",CP,,,,,,,,,,,,,,,,,,
151,1989-4,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
152,1989-8,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",MP,,,,,,,,,,,,,,,,,,
152,1989-8,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",CP,,,,,,,,,,,,,,,,,,
152,1989-8,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
153,1995-2,0,,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",35,2,,MP,,,,,,,,,,,,,,,,,,
153,1995-2,1,,Disk/field cultivation included fall disking (7.5-10 cm deep) after maize followed by spring field cultivation after soybean production.,10,2,,DT,,,,,,,,,,,,,,,,,,
153,1995-2,2,,No-tillage prior to or post planting,0,0,,NT,,,,,,,,,,,,,,,,,,
154,1989-8,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",MP,,,,,,,,,,,,,,,,,,
154,1989-8,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",CP,,,,,,,,,,,,,,,,,,
154,1989-8,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
155,1989-8,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",MP,,,,,,,,,,,,,,,,,,
155,1989-8,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",CP,,,,,,,,,,,,,,,,,,
155,1989-8,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
156,1989-12,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",MP,,,,,,,,,,,,,,,,,,
156,1989-12,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",CP,,,,,,,,,,,,,,,,,,
156,1989-12,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
157,1994-4,0,,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",35,2,,MP,,,,,,,,,,,,,,,,,,
157,1994-4,1,,Disk/field cultivation included fall disking (7.5-10 cm deep) after maize followed by spring field cultivation after soybean production.,10,2,,DT,,,,,,,,,,,,,,,,,,
157,1994-4,2,,No-tillage prior to or post planting,0,0,,NT,,,,,,,,,,,,,,,,,,
158,1995-3,0,,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",35,2,,MP,,,,,,,,,,,,,,,,,,
158,1995-3,1,,Disk/field cultivation included fall disking (7.5-10 cm deep) after maize followed by spring field cultivation after soybean production.,10,2,,DT,,,,,,,,,,,,,,,,,,
158,1995-3,2,,No-tillage prior to or post planting,0,0,,NT,,,,,,,,,,,,,,,,,,
159,1998-16,0,0,"chisel plow 20-25 cm depth in the fall after harvest, and secondary tillage with a field cultivator before planting in the spring",25,2,post harvest (fall) and pre-planting (spring),CP,,,,,,,,,,,,,,,,,,
159,1998-16,1,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
159,1998-16,2,0,,,,,CCC,continuous maize crop rotation,,,,,,,,,,,,,,,,,
159,1998-16,3,0,,,,,CS,maize-soybean crop rotation,,,,,,,,,,,,,,,,,
159,1998-16,4,0,,,,,CSW,maize-sobyean-winter wheat crop rotation,,,,,,,,,,,,,,,,,
159,1998-16,5,0,,,,,SSS,continuous soybean crop rotation,,,,,,,,,,,,,,,,,
160,2007-6,0,0,"strip-tillage with disturbance in a band about 17 cm deep, 4 cm wide at the bottom and 25 cm wide on the soil surface",17,1,pre-planting,ST,,,,,,,,,,,,,,,,,,
160,2007-6,1,0,no-tillage,0,,,NT,,,,,,,,,,,,,,,,,,
161,1970-45,0,0,"moldboard plow, tandem disk, cultivator, culti-mulcher",,4,,,,,,,,,,,,,,,,,,,,
161,1970-45,1,0,"chisel plow, tandem disk, cultivator, culti-mulcher",,5,,,,,,,,,,,,,,,,,,,,
161,1970-45,2,0,"two years no-till, 1 year moldboard plow treatment",,0/4,,,,,,,,,,,,,,,,,,,,
161,1970-45,3,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
161,1970-45,4,0,,,,,,5 fertilizer treatments were also examined. All data extracted for this database came from the full NPK treatments,,,,,,,,,,,,,,,,,
162,1970-45,0,0,"moldboard plow, tandem disk, cultivator, culti-mulcher",,4,,,,,,,,,,,,,,,,,,,,
162,1970-45,1,0,"chisel plow, tandem disk, cultivator, culti-mulcher",,5,,,,,,,,,,,,,,,,,,,,
162,1970-45,2,0,"two years no-till, 1 year moldboard plow treatment",,0/4,,,,,,,,,,,,,,,,,,,,
162,1970-45,3,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
162,1970-45,4,0,,,,,,5 fertilizer treatments were also examined. All data extracted for this database came from the full NPK treatments,,,,,,,,,,,,,,,,,
163,1967-7,0,0,"moldboard plow (autumn or spring), followed by disking and/or field cultivation in spring",,3,,,,,,,,,,,,,,,,,,,,
163,1967-7,1,0,chisel plow (autumn or spring) followed by dicing and/or field cultivation,,3,,,,,,,,,,,,,,,,,,,,
163,1967-7,2,0,ridge tillage,,2,,,,,,,,,,,,,,,,,,,,
163,1967-7,3,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
164,1985-3,0,0,spring chisel plow,,,,,,,,,,,,,,,,,,,,,,
164,1985-3,1,0,ridge tillage,,,,,,,,,,,,,,,,,,,,,,
164,1985-3,2,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
165,1977-13,0,0,moldboard plow,,,,,,,,,,,,,,,,,,,,,,
165,1977-13,1,0,chisel plow,,,,,,,,,,,,,,,,,,,,,,
165,1977-13,2,0,ridge tillage,,,,,,,,,,,,,,,,,,,,,,
165,1977-13,3,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
165,1977-13,4,0,,,,,,continuous maize crop rotation,,,,,,,,,,,,,,,,,
165,1977-13,5,0,,,,,,maize-soybean crop rotation,,,,,,,,,,,,,,,,,
166,1962-25,0,0,moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring,25,3,spring or fall depending on site,conventional tillage,,,,,,,,,,,,,,,,,,
166,1962-25,1,0,"moldboard plow with no further tillage events in spring (1983, paraplow to 35 cm depth)",25,1,spring or fall depending on site,minimum tillage,,,,,,,,,,,,,,,,,,
166,1962-25,2,0,no-tillage,0,0,,no-tillage,,,,,,,,,,,,,,,,,,
167,1985-2,0,0,moldboard plow (20-25 cm deep) in November and in the spring cultivated twice to 10 cm depth,25,3,November and spring,,,,,,,,,,,,,,,,,,,
167,1985-2,1,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
167,1985-2,2,0,,,,,,continuous maize crop rotation,,,,,,,,,,,,,,,,,
167,1985-2,3,0,,,,,,maize-soybean crop rotation,,,,,,,,,,,,,,,,,
168,1975-11,0,0,moldboard plow in the fall (20 cm depth) with disk and harrowing and/or field cultivation in the spring,20,,,,,,,,,,,,,,,,,,,,,
168,1975-11,1,0,chisel plow in the fall (20 cm depth) with disk and harrowing and/or field cultivation in the spring,20,,,,,,,,,,,,,,,,,,,,,
168,1975-11,2,0,ridge-tillage with re-ridging occuring at final cultivation each year (cultivation occurred 1-2x for weed management),,,,,,,,,,,,,,,,,,,,,,
169,1988-3,0,0,moldboard plow and disked in spring,,2,,,,,,,,,,,,,,,,,,,,
169,1988-3,1,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
170,1985-3,0,0,spring chisel plow,,,,,,,,,,,,,,,,,,,,,,
170,1985-3,1,0,ridge tillage,,,,,,,,,,,,,,,,,,,,,,
170,1985-3,2,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
171,1975-13,0,0,moldboard plowed in fall (25 cm depth) then disked and field-cultivated to 10 cm in spring before planting,25,3,,,,,,,,,,,,,,,,,,,,
171,1975-13,1,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
172,1978-10,0,0,conventional,,,,,,,,,,,,,,,,,,,,,,
172,1978-10,1,0,reduced-tillage,,,,,,,,,,,,,,,,,,,,,,
172,1978-10,2,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
173,1982-4,0,0,"moldboard plow in fall to 20 cm depth, disked or field cultivated in the spring to 10 cm depth, and harrowed before planting.",20,3,,,,,,,,,,,,,,,,,,,,
173,1982-4,1,0,paraplow to a 30 cm depth in the fall,30,1,,,,,,,,,,,,,,,,,,,,
173,1982-4,2,0,chisel plow to 20 cm depth in the fall and spring disked or cultivated to 10 cm depth and harrowed,20,3,,,,,,,,,,,,,,,,,,,,
173,1982-4,3,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
174,1985-4,0,0,conventional tillage (disked twice with a tandem disk and then harrowed),,3,,,,,,,,,,,,,,,,,,,,
174,1985-4,1,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
174,1985-4,2,0,,,,,,no cover crop,,,,,,,,,,,,,,,,,
174,1985-4,3,0,,,,,,hairy vetch cover crop,,,,,,,,,,,,,,,,,
174,1985-4,4,0,,,,,,0 kg/ha N fertilizer,,,,,,,,,,,,,,,,,
174,1985-4,5,0,,,,,,67 kg/ha N fertilizer,,,,,,,,,,,,,,,,,
174,1985-4,6,0,,,,,,134 kg/ha N fertilizer,,,,,,,,,,,,,,,,,
175,1987-3,0,0,"moldboard plow (1987 in the spring and fall thereafter), disked and harrowed in the spring before planting",,3,,,,,,,,,,,,,,,,,,,,
175,1987-3,1,0,"chisel plow (1987 in the spring and fall thereafter), disked and harrowed in the spring before planting",,3,,,,,,,,,,,,,,,,,,,,
175,1987-3,2,0,ridge-tillage (mid-season ridging) maintained at 20 cm above the row middle,,1,,,,,,,,,,,,,,,,,,,,
175,1987-3,3,0,,,,,,0 kg/ha N fertilizer,,,,,,,,,,,,,,,,,
175,1987-3,4,0,,,,,,65 kg/ha N fertilizer,,,,,,,,,,,,,,,,,
175,1987-3,5,0,,,,,,130 kg/ha N fertilizer,,,,,,,,,,,,,,,,,
175,1987-3,6,0,,,,,,195 kg/ha N fertilizer,,,,,,,,,,,,,,,,,
175,1987-3,7,0,,,,,,260 kg/ha N fertilizer,,,,,,,,,,,,,,,,,
176,1962-30,0,0,moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring,25,2,,,,,,,,,,,,,,,,,,,,
176,1962-30,1,0,chisel plow (30 cm depth) in fall,30,1,,,,,,,,,,,,,,,,,,,,
176,1962-30,2,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
177,1984-7,0,0,paraplowed each fall to 35 cm depth,35,1,,,,,,,,,,,,,,,,,,,,
177,1984-7,1,0,chisel plow each spring to 25 cm depth,25,1,,,,,,,,,,,,,,,,,,,,
177,1984-7,2,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
178,1988-3,0,0,moldboard plow and disked before planting,,2,,,,,,,,,,,,,,,,,,,,
178,1988-3,1,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
178,1988-3,2,0,,,,,,maize monoculture,,,,,,,,,,,,,,,,,
178,1988-3,3,0,,,,,,soybean monoculture,,,,,,,,,,,,,,,,,
178,1988-3,4,0,,,,,,strip intercropping of maize and soybean,,,,,,,,,,,,,,,,,
179,1988-3,0,0,moldboard plow and disked before planting,,2,,,,,,,,,,,,,,,,,,,,
179,1988-3,1,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
179,1988-3,2,0,,,,,,maize.soybean rotation,,,,,,,,,,,,,,,,,
179,1988-3,3,0,,,,,,strip intercropping of maize and soybean,,,,,,,,,,,,,,,,,
180,1962-30,0,0,moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring,25,2,,,,,,,,,,,,,,,,,,,,
180,1962-30,1,0,chisel plow (30 cm depth) in fall since 1984 (prior moldboard plow),30,1,,,,,,,,,,,,,,,,,,,,
180,1962-30,2,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
180,1962-30,3,0,,,,,,continuous maize,,,,,,,,,,,,,,,,,
180,1962-30,4,0,,,,,,maize/soybean 2 yr rotation,,,,,,,,,,,,,,,,,
180,1962-30,5,0,,,,,,"maize, oat, and meadow rotation",,,,,,,,,,,,,,,,,
181,1982-9,0,0,chisel plow at 20-23 cm depth followed by field cultivation at 10-13 cm depth in spring,23,2,,,,,,,,,,,,,,,,,,,,
181,1982-9,1,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
181,1982-9,2,0,,,,,,unfertilized ,,,,,,,,,,,,,,,,,
181,1982-9,3,0,,,,,,"annual inorganic fertilier (ammonium nitrate, broadcast at either 196 or 235 kg N/ha)",,,,,,,,,,,,,,,,,
181,1982-9,4,0,,,,,,annual application of manure slurry (injected at 284 kg N/ha at 20-25 cm depth),,,,,,,,,,,,,,,,,
181,1982-9,5,0,,,,,,biennial (applied every other year) application of manure slurry (injected at 284 kg N/ha at 20-25 cm depth),,,,,,,,,,,,,,,,,
182,1982-9,0,0,chisel plow at 20-23 cm depth followed by field cultivation at 10-13 cm depth in spring,23,2,,,,,,,,,,,,,,,,,,,,
182,1982-9,1,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
182,1982-9,2,0,,,,,,unfertilized ,,,,,,,,,,,,,,,,,
182,1982-9,3,0,,,,,,"annual inorganic fertilier (ammonium nitrate, broadcast at either 196 or 235 kg N/ha)",,,,,,,,,,,,,,,,,
182,1982-9,4,0,,,,,,annual application of manure slurry (injected at 284 kg N/ha at 20-25 cm depth),,,,,,,,,,,,,,,,,
182,1982-9,5,0,,,,,,biennial (applied every other year) application of manure slurry (injected at 284 kg N/ha at 20-25 cm depth),,,,,,,,,,,,,,,,,
183,1987-4,0,0,chisel plow to 15 cm depth and tandem disk in April,15,2,,,,,,,,,,,,,,,,,,,,
183,1987-4,1,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
183,1987-4,2,0,,,,,,continuous maize,,,,,,,,,,,,,,,,,
183,1987-4,3,0,,,,,,maize/soybean crop rotation,,,,,,,,,,,,,,,,,
183,1987-4,4,0,,,,,,0 kg N/ha,,,,,,,,,,,,,,,,,
183,1987-4,5,0,,,,,,67 kg N/ha,,,,,,,,,,,,,,,,,
183,1987-4,6,0,,,,,,135 kg N/ha,,,,,,,,,,,,,,,,,
183,1987-4,7,0,,,,,,202 kg N/ha,,,,,,,,,,,,,,,,,
183,1987-4,8,0,,,,,,269 kg N/ha,,,,,,,,,,,,,,,,,
184,1982-12,0,0,moldboard plow to 20 cm depth in fall with disking or field cultivation in spring,20,2,,,,,,,,,,,,,,,,,,,,
184,1982-12,1,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
185,1975-20,0,0,moldboard plow to 20 cm depth in fall with disking or field cultivation in spring,20,2,,,,,,,,,,,,,,,,,,,,
185,1975-20,1,0,"chisel plow to 20 cm in fall, one disk and field cultivation (10 cm depth) in spring",20,3,,,,,,,,,,,,,,,,,,,,
185,1975-20,2,0,ridge tillage in fall,,1,,,,,,,,,,,,,,,,,,,,
185,1975-20,3,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
186,1987-8,0,0,moldboard plow to 20-25 cm depth in fall with secondary tillage operations in spring before sowing,25,3,,,,,,,,,,,,,,,,,,,,
186,1987-8,1,0,chisel plow to 20-25 cm depth in fall with secondary tillage operations in spring before sowing,25,3,,,,,,,,,,,,,,,,,,,,
186,1987-8,2,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
187,1982-12,0,0,moldboard plow in spring followed by primary and secondary disking,,3,,,,,,,,,,,,,,,,,,,,
187,1982-12,1,0,chisel plow in spring followed by primary and secondary disking,,3,,,,,,,,,,,,,,,,,,,,
187,1982-12,2,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
187,1982-12,3,0,,,,,,continuous maize crop rotation,,,,,,,,,,,,,,,,,
187,1982-12,4,0,,,,,,continuous soybean crop rotation,,,,,,,,,,,,,,,,,
187,1982-12,5,0,,,,,,fallow,,,,,,,,,,,,,,,,,
188,1977-16,0,0,moldboard plow in fall,,,,,,,,,,,,,,,,,,,,,,
188,1977-16,1,0,chisel plown in fall,,,,,,,,,,,,,,,,,,,,,,
188,1977-16,2,0,ridge-tillage,,,,,,,,,,,,,,,,,,,,,,
188,1977-16,3,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
188,1977-16,4,0,,,,,,continuous maize crop rotation,,,,,,,,,,,,,,,,,
188,1977-16,5,0,,,,,,maize/soybean crop rotation,,,,,,,,,,,,,,,,,
189,1989-5,0,0,spring disk with cultivation for weed management at V7,,,,,,,,,,,,,,,,,,,,,,
189,1989-5,1,0,no-tillage with cultivation for weed management at V7,,,,,,,,,,,,,,,,,,,,,,
189,1989-5,2,0,,,,,,maize/soybean crop rotation,,,,,,,,,,,,,,,,,
189,1989-5,3,0,,,,,,continuous maize,,,,,,,,,,,,,,,,,
189,1989-5,4,0,,,,,,maize/soybean with winter rye crop rotation,,,,,,,,,,,,,,,,,
189,1989-5,5,0,,,,,,0 kg N/ha,,,,,,,,,,,,,,,,,
189,1989-5,6,0,,,,,,50 kg N/ha,,,,,,,,,,,,,,,,,
189,1989-5,7,0,,,,,,100 kg N/ha,,,,,,,,,,,,,,,,,
189,1989-5,8,0,,,,,,150 kg N/ha,,,,,,,,,,,,,,,,,
189,1989-5,9,0,,,,,,300 kg N/ha,,,,,,,,,,,,,,,,,
190,1991-3,0,0,chisel plow,,,,,,,,,,,,,,,,,,,,,,
190,1991-3,1,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
190,1991-3,2,0,,,,,,maize/soybean crop rotation,,,,,,,,,,,,,,,,,
190,1991-3,3,0,,,,,,continuous maize crop rotation,,,,,,,,,,,,,,,,,
190,1991-3,4,0,,,,,,continuous soybean crop rotation,,,,,,,,,,,,,,,,,
190,1991-3,5,0,,,,,,112 kg N/ha,,,,,,,,,,,,,,,,,
190,1991-3,6,0,,,,,,224 kg N/ha,,,,,,,,,,,,,,,,,
191,1994-1,0,0,moldboard plow in fall with disking twice before planting,,3,,,,,,,,,,,,,,,,,,,,
191,1994-1,1,0,moldboard plow in spring with disking twice before planting,,3,,,,,,,,,,,,,,,,,,,,
191,1994-1,2,0,no-tillage,,0,,,,,,,,,,,,,,,,,,,,
191,1994-1,3,0,undisturbed,,,,,,,,,,,,,,,,,,,,,,
192,1984-12,0,0,paraplowed in fall,,,,,,,,,,,,,,,,,,,,,,
192,1984-12,1,0,chisel plow,,,,,,,,,,,,,,,,,,,,,,
192,1984-12,2,0,disking,,,,,,,,,,,,,,,,,,,,,,
192,1984-12,3,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
192,1984-12,4,0,plowing...unspecified type,,,,,,,,,,,,,,,,,,,,,,
193,1962-30,0,0,moldboard plow (20-25 cm depth) in fall or spring depending on site and at least 2 other deep secondary tillage events before planting,25,3,,,,,,,,,,,,,,,,,,,,
193,1962-30,1,0,chisel plow to 25 cm depth in spring,25,1,,,,,,,,,,,,,,,,,,,,
193,1962-30,2,0,no-tillage,0,0,,,,,,,,,,,,,,,,,,,,
194,1987-10,0,0,moldboard plow,,,,,,,,,,,,,,,,,,,,,,
194,1987-10,1,0,chisel plow,,,,,,,,,,,,,,,,,,,,,,
194,1987-10,2,0, no-tillage,,,,,,,,,,,,,,,,,,,,,,
194,1987-10,3,0,,,,,,0 Mg weight (axle load),,,,,,,,,,,,,,,,,
194,1987-10,4,0,,,,,,10 Mg weight (axle load),,,,,,,,,,,,,,,,,
194,1987-10,5,0,,,,,,20 Mg weight (axle load),,,,,,,,,,,,,,,,,
195,1990-5,0,0,tandem disk twice in opposite directions (10-12 cm depth) with residue removed and replaced after planting,,,,,,,,,,,,,,,,,,,,,,
195,1990-5,1,0,tandem disk twice in opposite directions (10-12 cm depth) with residue not removed,,,,,,,,,,,,,,,,,,,,,,
195,1990-5,2,0,no-tillage with residue removed and replaced after planting,,,,,,,,,,,,,,,,,,,,,,
195,1990-5,3,0,no-tillage with residue not removed,,,,,,,,,,,,,,,,,,,,,,
195,1990-5,4,0,,,,,,0 kg N/ha applied,,,,,,,,,,,,,,,,,
195,1990-5,5,0,,,,,,56 kg N/ha applied,,,,,,,,,,,,,,,,,
195,1990-5,6,0,,,,,,112 kg N/ha applied,,,,,,,,,,,,,,,,,
195,1990-5,7,0,,,,,,168 kg N/ha applied,,,,,,,,,,,,,,,,,
195,1990-5,8,0,,,,,,broadcast fertilizer application at 6 leaf stage,,,,,,,,,,,,,,,,,
195,1990-5,9,0,,,,,,sidedress fertilizer application at 6 leaf stage,,,,,,,,,,,,,,,,,
196,1995-1,0,0,chisel plow fall and spring,,,,,,,,,,,,,,,,,,,,,,
196,1995-1,1,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
197,1993-3,0,0,"disked before planting, 15-30% residue remained",,,,,,,,,,,,,,,,,,,,,,
197,1993-3,1,0,no-tillage,,,,,,,,,,,,,,,,,,,,,,
197,1993-3,2,0,,,,,,wide row spacing (76 cm),,,,,,,,,,,,,,,,,
197,1993-3,3,0,,,,,,narrow row spacing (25 cm),,,,,,,,,,,,,,,,,
198,1986-3,0,0,moldboard plow in fall to 8 or 9 inches with once cultivator pass in spring before planting,,2,,,,,,,,,,,,,,,,,,,,
198,1986-3,1,0,paraplow in the fall at 12-14 inches deep,,1,,,,,,,,,,,,,,,,,,,,
