"","main_group","group_metric","Cover_crop_diversity2","mean_per_change","sem_per_change","num_papers","num_comparisons","Group_RV","Review"
"1","Biological","Microbial Biomass","Monoculture",21.1411148462315,24.7964944199071,3,9,"Soil","Cover Cropping"
"2","Biological","Microbial Biomass","Mixture (2 Spp.)",114.320728291317,95.203081232493,1,2,"Soil","Cover Cropping"
"3","Chemical","Ammonium (Preplant)","Monoculture",12.6545866881691,6.89740569125858,6,38,"Soil","Cover Cropping"
"4","Chemical","Ammonium (Preplant)","Mixture (2 Spp.)",17.5164175164175,6.54031796180241,1,12,"Soil","Cover Cropping"
"5","Chemical","Ammonium (Preplant)","Mixture (3+ Spp.)",0.608737431842124,4.72274745770143,1,12,"Soil","Cover Cropping"
"6","Chemical","Nitrate (Maize)","Monoculture",-2.57304925630053,6.83556042291218,4,21,"Soil","Cover Cropping"
"7","Chemical","Nitrate (Maize)","Mixture (2 Spp.)",-60.4819986726793,5.31771777751454,1,8,"Soil","Cover Cropping"
"8","Chemical","Nitrate (Post Harvest)","Monoculture",7.657443488787,9.6520955735278,2,15,"Soil","Cover Cropping"
"9","Chemical","Nitrate (Preplant)","Monoculture",-15.0416838583456,3.44255669595833,12,73,"Soil","Cover Cropping"
"10","Chemical","Nitrate (Preplant)","Mixture (2 Spp.)",-13.651686866452,8.21316582933625,2,20,"Soil","Cover Cropping"
"11","Chemical","Nitrate (Preplant)","Mixture (3+ Spp.)",0.591920157137547,4.72272439556517,1,12,"Soil","Cover Cropping"
"12","Chemical","Nitrate (Soybean)","Monoculture",-5.32049868128098,13.1227810226824,1,3,"Soil","Cover Cropping"
"13","Chemical","pH","Monoculture",-0.366154521594249,0.200285836224635,3,32,"Soil","Cover Cropping"
"14","Chemical","pH","Mixture (2 Spp.)",0.252525252525254,0.170252490521022,1,12,"Soil","Cover Cropping"
"15","Chemical","pH","Mixture (3+ Spp.)",-0.528260546642898,0.436056426026507,1,12,"Soil","Cover Cropping"
"16","Chemical","Phosphorous","Monoculture",-0.225341759182512,1.17037170100509,5,48,"Soil","Cover Cropping"
"17","Chemical","Phosphorous","Mixture (2 Spp.)",7.08719396407972,2.0164723661365,2,20,"Soil","Cover Cropping"
"18","Chemical","Phosphorous","Mixture (3+ Spp.)",-5.51886527040085,2.00483664886448,1,12,"Soil","Cover Cropping"
"19","Chemical","Postassium","Monoculture",-0.692711445555017,0.381719158993244,2,30,"Soil","Cover Cropping"
"20","Chemical","Soil Carbon, 0-20 cm depth","Monoculture",-13.8615099887519,2.50313635235344,8,114,"Soil","Cover Cropping"
"21","Chemical","Soil Carbon, 0-20 cm depth","Mixture (2 Spp.)",1.54241645244217,0,1,7,"Soil","Cover Cropping"
"22","Chemical","Soil Carbon, 0-75 cm depth","Monoculture",14.2209488298133,9.38856800583468,6,74,"Soil","Cover Cropping"
"23","Chemical","Soil Carbon, 0-75 cm depth","Mixture (2 Spp.)",-2.6656828731048,2.77902637141082,2,20,"Soil","Cover Cropping"
"24","Chemical","Soil Carbon, 0-75 cm depth","Mixture (3+ Spp.)",-1.31860027676271,0.400210879058989,1,12,"Soil","Cover Cropping"
"25","Chemical","Soil Carbon, 20-60 cm depth","Monoculture",NA,NA,1,10,"Soil","Cover Cropping"
"26","Chemical","Soil Organic Matter","Monoculture",6.73054719844474,1.03834935421643,6,56,"Soil","Cover Cropping"
"27","Chemical","Soil Organic Matter","Mixture (2 Spp.)",23.6933797909408,0,1,2,"Soil","Cover Cropping"
"28","Chemical","Total Nitrogen","Monoculture",15.7010444606142,7.59786257793589,10,78,"Soil","Cover Cropping"
"29","Chemical","Total Nitrogen","Mixture (2 Spp.)",-24.2440354991544,7.19461230960573,2,16,"Soil","Cover Cropping"
"30","Environmental","Carbon Dioxide Emissions","Monoculture",8.16614802920578,1.60759621495097,1,12,"Soil","Cover Cropping"
"31","Environmental","Nitrous Oxide Emissions","Monoculture",17.0224977890689,9.85739215187064,3,38,"Soil","Cover Cropping"
"32","Environmental","Nitrous Oxide Emissions","Mixture (2 Spp.)",7.09065275216884,14.0347755166803,1,16,"Soil","Cover Cropping"
"33","Environmental","Soil Temperature","Monoculture",0.298236486285728,0.464255777680263,1,12,"Soil","Cover Cropping"
"34","Physical","Compaction","Monoculture",1.99142701446752,0.471594017872779,3,33,"Soil","Cover Cropping"
"35","Physical","Compaction","Mixture (2 Spp.)",5.72419977980475,1.51970853494444,2,15,"Soil","Cover Cropping"
"36","Physical","Compaction","Mixture (3+ Spp.)",4.79183532327715,2.49537165189534,1,12,"Soil","Cover Cropping"
"37","Physical","Erosion","Monoculture",-39.5979144289612,3.31874920780682,3,56,"Soil","Cover Cropping"
"38","Physical","Soil Aggregates","Monoculture",4.06423663670424,2.74564621500788,7,76,"Soil","Cover Cropping"
"39","Physical","Soil Aggregates","Mixture (2 Spp.)",1.33524391603709,0.353289938724599,2,20,"Soil","Cover Cropping"
"40","Physical","Soil Aggregates","Mixture (3+ Spp.)",-0.459943297039105,0.589081461845107,1,12,"Soil","Cover Cropping"
"41","Physical","Soil Bulk Density","Monoculture",0.221271837984859,0.241347750988776,8,111,"Soil","Cover Cropping"
"42","Physical","Soil Bulk Density","Mixture (2 Spp.)",-0.459447927470016,0.282271766124743,2,19,"Soil","Cover Cropping"
"43","Physical","Soil Bulk Density","Mixture (3+ Spp.)",0.26246719160105,0.176955344478541,1,12,"Soil","Cover Cropping"
"44","Physical","Soil Pores","Monoculture",3.13851542261393,2.20128147241686,1,12,"Soil","Cover Cropping"
"45","Physical","Soil Texture","Monoculture",0.292708487379681,0.529387392668926,1,84,"Soil","Cover Cropping"
"46","Physical","Soil Water Content","Monoculture",2.89795144171333,0.591687425353149,7,195,"Soil","Cover Cropping"
"47","Invertebrates","Corn Rootworm (#)","Monoculture",-18.2656421264158,12.8077684590195,1,8,"Pest Regulation","Cover Cropping"
"48","Invertebrates","Corn Rootworm (Damage to Crop)","Monoculture",-27.6515151515152,10.9848484848485,1,2,"Pest Regulation","Cover Cropping"
"49","Invertebrates","Non-predators & Non-pests","Monoculture",6.73650947512343,5.28592239052591,1,72,"Pest Regulation","Cover Cropping"
"50","Invertebrates","Predator Activity","Mixture (2 Spp.)",0,0,1,4,"Pest Regulation","Cover Cropping"
"51","Invertebrates","Predator community inhabiting foliage (#)","Monoculture",-7.33299123925962,34.2090380020908,1,10,"Pest Regulation","Cover Cropping"
"52","Invertebrates","Predator community inhabiting foliage (#)","Mixture (2 Spp.)",28.4722222222222,7.51156515721664,1,8,"Pest Regulation","Cover Cropping"
"53","Invertebrates","Predator community inhabiting soils (#)","Monoculture",5.24616888335221,2.77160871231493,2,16,"Pest Regulation","Cover Cropping"
"54","Invertebrates","Predator community inhabiting soils (Diversity)","Monoculture",3.68493598472536,1.06937212213719,1,8,"Pest Regulation","Cover Cropping"
"55","Invertebrates","Predators (#)","Monoculture",26.7930347039601,5.63992014065927,1,48,"Pest Regulation","Cover Cropping"
"56","Invertebrates","Seedcorn Maggot (#)","Monoculture",438.489157900923,181.723732644521,1,7,"Pest Regulation","Cover Cropping"
"57","Invertebrates","Seedcorn Maggot (Damage to Crop)","Monoculture",182.532467532468,64.1757354890433,1,10,"Pest Regulation","Cover Cropping"
"58","Invertebrates","Soybean Aphid (#)","Monoculture",39.8677597460247,39.5073342937452,2,26,"Pest Regulation","Cover Cropping"
"59","Invertebrates","Soybean Cyst Nematode (#)","Monoculture",-22.3017043901071,3.75254158674528,3,91,"Pest Regulation","Cover Cropping"
"60","Pathogens","Pathogens","Monoculture",-12.6052188552189,8.86329834513875,1,12,"Pest Regulation","Cover Cropping"
"61","Weeds","Aboveground growth of weed community","Monoculture",-35.2163113179156,18.5172063264129,2,22,"Pest Regulation","Cover Cropping"
"62","Weeds","Aboveground growth of weed community","Mixture (2 Spp.)",-20.2380952380952,0,1,2,"Pest Regulation","Cover Cropping"
"63","Weeds","Aboveground growth of weed community","Mixture (3+ Spp.)",-69.8412698412698,0,1,2,"Pest Regulation","Cover Cropping"
"64","Weeds","Cocklebur","Monoculture",10.2507331076685,13.9196166318102,1,10,"Pest Regulation","Cover Cropping"
"65","Weeds","Deadnettle","Monoculture",1.28618017865745,5.28923488726415,1,30,"Pest Regulation","Cover Cropping"
"66","Weeds","Giant Foxtail","Monoculture",29.6552153169288,10.9785115206766,1,10,"Pest Regulation","Cover Cropping"
"67","Weeds","Pigweed","Monoculture",100.435061641727,40.167891978795,1,24,"Pest Regulation","Cover Cropping"
"68","Weeds","Waterhemp","Monoculture",13.1272988290282,10.7264105908862,2,102,"Pest Regulation","Cover Cropping"
"69","Weeds","Waterhemp","Mixture (2 Spp.)",-18.272059247638,1.55052137145723,1,6,"Pest Regulation","Cover Cropping"
"70","Weeds","Weed community (abundance of weeds)","Monoculture",-8.0243679821208,6.35994239448575,4,135,"Pest Regulation","Cover Cropping"
"71","Weeds","Weed community (abundance of weeds)","Mixture (2 Spp.)",-35.7172506236336,9.92381087584353,2,8,"Pest Regulation","Cover Cropping"
"72","Weeds","Weed community (abundance of weeds)","Mixture (3+ Spp.)",-10.2040816326531,0,1,2,"Pest Regulation","Cover Cropping"
"73",NA,NA,NA,NA,NA,1,3,"Pest Regulation","Cover Cropping"
"74","Crop Nitrogen Uptake","Grain (Maize)","Monoculture",-16.6749032226574,2.35869908796009,4,34,"Crop Production","Cover Cropping"
"75","Crop Nitrogen Uptake","Grain (Soybean)","Monoculture",-18.1286549707602,0,1,4,"Crop Production","Cover Cropping"
"76","Crop Nitrogen Uptake","Stalk/Stover (Maize)","Monoculture",-8.17767035084231,2.29338048725218,6,45,"Crop Production","Cover Cropping"
"77","Stand Count","Seedling Density","Monoculture",1.45348834634102,2.19239527006819,5,192,"Crop Production","Cover Cropping"
"78","Stand Count","Seedling Density","Mixture (2 Spp.)",-8.9642820866718,2.98340176494279,1,8,"Crop Production","Cover Cropping"
"79","Yields","Grain (Maize)","Monoculture",-1.7876243768801,0.923595506386209,25,365,"Crop Production","Cover Cropping"
"80","Yields","Grain (Maize)","Mixture (2 Spp.)",-3.9768776139028,0.905510207658094,4,28,"Crop Production","Cover Cropping"
"81","Yields","Grain (Maize)","Mixture (3+ Spp.)",-1.46407637892403,0.91665821523977,1,12,"Crop Production","Cover Cropping"
"82","Yields","Grain (Soybean)","Monoculture",-2.00045392829828,1.40941774890023,19,216,"Crop Production","Cover Cropping"
"83","Yields","Grain (Soybean)","Mixture (2 Spp.)",-2.05246927128342,0.757882799547109,5,30,"Crop Production","Cover Cropping"
"84","Yields","Grain (Soybean)","Mixture (3+ Spp.)",-4.84503605787791,3.25047003075814,1,12,"Crop Production","Cover Cropping"
"85","Yields","Root biomass","Monoculture",4.03691735213474,24.2742840296696,1,4,"Crop Production","Cover Cropping"
"86","Yields","Stover Biomass","Monoculture",-7.88054636338192,3.36432743672927,6,31,"Crop Production","Cover Cropping"
"87","Yields","Stover Biomass","Mixture (2 Spp.)",-6.28594744864791,2.54586258776764,2,6,"Crop Production","Cover Cropping"
"88","Drainage","Drainage","Monoculture",-3.761744071816,2.81575958261333,4,46,"Water","Cover Cropping"
"89","Physical","Erosion","Monoculture",-68.1818181818182,25.7575757575758,1,2,"Water","Cover Cropping"
"90","Runoff","Nitrate","Monoculture",-30.50649920584,6.18884582482789,7,77,"Water","Cover Cropping"
"91","Runoff","Phosphorous","Monoculture",-50.509549070693,5.26295319762122,2,12,"Water","Cover Cropping"
